"ID","OBJECTID","PSPU_ID","ProvinceID","ProvinceNa","ProjectID","ProjectNam","EcoBoundar","EcoBound_1","AdminBound","AdminBou_1","NFCMARS_Ad","Reconcilia","SPUGROUPID","ManagedFor","Shape_Leng","Shape_Area"
514,514,100132,10,"Alberta",10,"AB",9,"Boreal Plains",129,"West Fraser Mills Ltd. (Hinton)","West Fraser Mills Ltd. (Hinton)",34,168,"Managed Forest",1332585.70681,8489954413.1
515,515,100133,10,"Alberta",10,"AB",9,"Boreal Plains",130,"WeyDV","WeyDV",34,170,"Managed Forest",1197247.20765,4524285461.54
516,516,100134,10,"Alberta",10,"AB",9,"Boreal Plains",131,"WeyEd","WeyEd",34,171,"Managed Forest",1456806.35646,4846715049.6
517,517,100135,10,"Alberta",10,"AB",9,"Boreal Plains",132,"WeyGP","WeyGP",34,173,"Managed Forest",1178996.22455,9197512744.44
518,518,100136,10,"Alberta",10,"AB",10,"Subhumid Prairies",5,"35","35",35,4,"Managed Forest",2033180.89607,55449369627.6
519,519,100137,10,"Alberta",10,"AB",10,"Subhumid Prairies",22,"BO1","BO1",35,29,"Managed Forest",310660.442023,2670572004.33
520,520,100138,10,"Alberta",10,"AB",10,"Subhumid Prairies",23,"BO2","BO2",35,32,"Managed Forest",318521.139199,3158241434.91
521,521,100139,10,"Alberta",10,"AB",10,"Subhumid Prairies",27,"CO1","CO1",35,39,"Managed Forest",268424.046486,2501626824.09
522,522,100140,10,"Alberta",10,"AB",10,"Subhumid Prairies",28,"CO2","CO2",35,42,"Managed Forest",401619.683926,2888417323.57
523,523,100141,10,"Alberta",10,"AB",10,"Subhumid Prairies",41,"ELK ISLAND","ELK ISLAND",35,64,"Managed Forest",67996.8684639,194141396.887
524,524,100142,10,"Alberta",10,"AB",10,"Subhumid Prairies",49,"FMUC5","FMUC5",35,75,"Managed Forest",107414.281619,65207882.0488
525,525,100143,10,"Alberta",10,"AB",10,"Subhumid Prairies",72,"LO1","LO1",35,101,"Managed Forest",321506.943166,1501105517.6
526,526,100144,10,"Alberta",10,"AB",10,"Subhumid Prairies",97,"RO1","RO1",35,132,"Managed Forest",542155.971114,3902037357.17
527,527,100145,10,"Alberta",10,"AB",10,"Subhumid Prairies",115,"SLS","SLS",35,149,"Managed Forest",32091.4197623,28925272.5369
528,528,100146,10,"Alberta",10,"AB",10,"Subhumid Prairies",134,"WO2","WO2",35,175,"Managed Forest",244178.54459,1823852049.61
529,529,100147,10,"Alberta",10,"AB",14,"Montane Cordillera",6,"36","36",36,5,"Managed Forest",1934003.07639,6849940739.57
530,530,100148,10,"Alberta",10,"AB",14,"Montane Cordillera",17,"ANC","ANC",36,22,"Managed Forest",127966.237555,205807519.516
531,531,100149,10,"Alberta",10,"AB",14,"Montane Cordillera",19,"B11","B11",36,24,"Managed Forest",742810.552435,2250364776.82
532,532,100150,10,"Alberta",10,"AB",14,"Montane Cordillera",20,"B9","B9",36,26,"Managed Forest",86567.5873679,70672773.2022
533,533,100151,10,"Alberta",10,"AB",14,"Montane Cordillera",21,"BANFF","BANFF",36,28,"Managed Forest",743704.904711,6832732344.58
534,534,100152,10,"Alberta",10,"AB",14,"Montane Cordillera",22,"BO1","BO1",36,30,"Managed Forest",184208.740185,336534378.69
535,535,100153,10,"Alberta",10,"AB",14,"Montane Cordillera",23,"BO2","BO2",36,33,"Managed Forest",228022.845464,579338109.72
536,536,100154,10,"Alberta",10,"AB",14,"Montane Cordillera",25,"C4","C4",36,36,"Managed Forest",26372.7478063,26220897.2936
537,537,100155,10,"Alberta",10,"AB",14,"Montane Cordillera",26,"CFP","CFP",36,37,"Managed Forest",50037.8178454,91565437.7879
538,538,100156,10,"Alberta",10,"AB",14,"Montane Cordillera",27,"CO1","CO1",36,40,"Managed Forest",327337.365693,935280802.117
539,539,100157,10,"Alberta",10,"AB",14,"Montane Cordillera",28,"CO2","CO2",36,43,"Managed Forest",491505.25396,782979336.318
540,540,100158,10,"Alberta",10,"AB",14,"Montane Cordillera",31,"E10","E10",36,48,"Managed Forest",154760.882393,649543958.626
541,541,100159,10,"Alberta",10,"AB",14,"Montane Cordillera",32,"E11","E11",36,49,"Managed Forest",252782.085898,450404302.809
542,542,100160,10,"Alberta",10,"AB",14,"Montane Cordillera",35,"E4","E4",36,53,"Managed Forest",178238.010682,384476104.128
543,543,100161,10,"Alberta",10,"AB",14,"Montane Cordillera",36,"E5","E5",36,55,"Managed Forest",185494.026626,540695966.955
544,544,100162,10,"Alberta",10,"AB",14,"Montane Cordillera",37,"E6","E6",36,56,"Managed Forest",47220.1096998,30508034.2592
545,545,100163,10,"Alberta",10,"AB",14,"Montane Cordillera",38,"E7","E7",36,58,"Managed Forest",847.039445804,36664.6421755
546,546,100164,10,"Alberta",10,"AB",14,"Montane Cordillera",39,"E8FMU","E8FMU",36,60,"Managed Forest",356292.378819,1431642567.53
547,547,100165,10,"Alberta",10,"AB",14,"Montane Cordillera",40,"E9","E9",36,62,"Managed Forest",3212.91909363,414868.902962
548,548,100166,10,"Alberta",10,"AB",14,"Montane Cordillera",49,"FMUC5","FMUC5",36,76,"Managed Forest",684734.58025,3452577855.59
549,549,100167,10,"Alberta",10,"AB",14,"Montane Cordillera",57,"G16","G16",36,85,"Managed Forest",241420.246675,382681785.838
550,550,100168,10,"Alberta",10,"AB",14,"Montane Cordillera",65,"JASPER","JASPER",36,94,"Managed Forest",938607.526101,11217083216
551,551,100169,10,"Alberta",10,"AB",14,"Montane Cordillera",93,"R11","R11",36,126,"Managed Forest",594097.251179,4159957413.54
552,552,100170,10,"Alberta",10,"AB",14,"Montane Cordillera",94,"R12","R12",36,128,"Managed Forest",56931.2527407,30714993.1208
553,553,100171,10,"Alberta",10,"AB",14,"Montane Cordillera",113,"SFP","SFP",36,146,"Managed Forest",22299.646785,8825107.66151
554,554,100172,10,"Alberta",10,"AB",14,"Montane Cordillera",115,"SLS","SLS",36,150,"Managed Forest",530666.092302,1180275253.56
555,555,100173,10,"Alberta",10,"AB",14,"Montane Cordillera",116,"SnDnc","SnDnc",36,152,"Managed Forest",42713.8590692,43959700.1807
556,556,100174,10,"Alberta",10,"AB",14,"Montane Cordillera",128,"WATERTON LAKES","WATERTON LAKES",36,166,"Managed Forest",133447.953232,499482287.223
557,557,100175,10,"Alberta",10,"AB",14,"Montane Cordillera",129,"West Fraser Mills Ltd. (Hinton)","West Fraser Mills Ltd. (Hinton)",36,167,"Managed Forest",582134.547784,1406342330.63
558,558,100176,10,"Alberta",10,"AB",14,"Montane Cordillera",130,"WeyDV","WeyDV",36,169,"Managed Forest",171614.17643,193289983.465
559,559,100177,10,"Alberta",10,"AB",14,"Montane Cordillera",132,"WeyGP","WeyGP",36,172,"Managed Forest",410083.609062,1983040603.56
560,560,100178,10,"Alberta",10,"AB",18,"Semiarid Prairies",7,"37","37",37,6,"Managed Forest",1405712.43362,81182298567.7
561,561,100179,10,"Alberta",10,"AB",18,"Semiarid Prairies",27,"CO1","CO1",37,41,"Managed Forest",180876.58835,323110098.136
562,562,100180,10,"Alberta",10,"AB",18,"Semiarid Prairies",28,"CO2","CO2",37,44,"Managed Forest",188027.570008,610945835.945
563,563,110001,11,"British Columbia",111,"BCB",4,"Taiga Plains",40,"40_Fort St. John","40_Fort St. John",38,7,"Managed Forest",767912.4296,13621709853.2
564,564,110002,11,"British Columbia",111,"BCB",4,"Taiga Plains",8,"08_Fort Nelson","08_Fort Nelson",38,2,"Managed Forest",1973919.84047,54167045958.1
565,565,110003,11,"British Columbia",111,"BCB",9,"Boreal Plains",41,"41_Dawson Creek","41_Dawson Creek",39,10,"Managed Forest",957962.317388,13666396858.1
566,566,110004,11,"British Columbia",111,"BCB",9,"Boreal Plains",40,"40_Fort St. John","40_Fort St. John",39,8,"Managed Forest",854772.568502,25031407090.8
567,567,110005,11,"British Columbia",111,"BCB",9,"Boreal Plains",8,"08_Fort Nelson","08_Fort Nelson",39,3,"Managed Forest",15366.9052787,5411552.81554
568,568,110006,11,"British Columbia",111,"BCB",12,"Boreal Cordillera",243,"24dja_Fort St. James","24dja_Fort St. James",40,6,"Managed Forest",559810.636949,1331204481.22
569,569,110007,11,"British Columbia",111,"BCB",12,"Boreal Cordillera",16,"16_Mackenzie","16_Mackenzie",40,5,"Managed Forest",1550121.33877,35617377915.9
570,570,110008,11,"British Columbia",111,"BCB",12,"Boreal Cordillera",4,"04_Cassiar","04_Cassiar",40,1,"Managed Forest",2799633.02942,106487632579
571,571,110009,11,"British Columbia",111,"BCB",12,"Boreal Cordillera",40,"40_Fort St. John","40_Fort St. John",40,9,"Managed Forest",430286.954732,4681673817.98
572,572,110010,11,"British Columbia",111,"BCB",12,"Boreal Cordillera",8,"08_Fort Nelson","08_Fort Nelson",40,4,"Managed Forest",1686418.72775,44493514268.2
573,573,110011,11,"British Columbia",112,"BCP",13,"Pacific Maritime",38,"38_Arrowsmith","38_Arrowsmith",41,16,"Managed Forest",2538186.7081,15252344405.3
574,574,110012,11,"British Columbia",112,"BCP",13,"Pacific Maritime",30,"30_Fraser","30_Fraser",41,12,"Managed Forest",1010868.30869,12931452663.9
575,575,110013,11,"British Columbia",112,"BCP",13,"Pacific Maritime",18,"18_Merritt","18_Merritt",41,6,"Managed Forest",8029.23902666,654826.822851
576,576,110014,11,"British Columbia",112,"BCP",13,"Pacific Maritime",39,"39_Sunshine Coast","39_Sunshine Coast",41,17,"Managed Forest",2525793.45188,15456684963.3
577,577,110015,11,"British Columbia",112,"BCP",13,"Pacific Maritime",31,"31_Soo","31_Soo",41,13,"Managed Forest",1044161.55694,10901846954
578,578,110016,11,"British Columbia",112,"BCP",13,"Pacific Maritime",37,"37_Strathcona","37_Strathcona",41,15,"Managed Forest",2712960.2557,14728468500.5
579,579,110017,11,"British Columbia",112,"BCP",13,"Pacific Maritime",33,"33_Kingcome","33_Kingcome",41,14,"Managed Forest",4020293.71629,18746369547.6
580,580,110018,11,"British Columbia",112,"BCP",13,"Pacific Maritime",15,"15_Lillooet","15_Lillooet",41,5,"Managed Forest",376371.553905,102799304.942
581,581,110019,11,"British Columbia",112,"BCP",13,"Pacific Maritime",293,"29_Chilcotin","29_Chilcotin",41,11,"Managed Forest",274566.230135,1557375511.48
582,582,110020,11,"British Columbia",112,"BCP",13,"Pacific Maritime",19,"19_Mid Coast","19_Mid Coast",41,7,"Managed Forest",5040133.32816,24945688927.1
583,583,110021,11,"British Columbia",112,"BCP",13,"Pacific Maritime",21,"21_North Coast","21_North Coast",41,9,"Managed Forest",5619108.16317,20917806884.2
584,584,110022,11,"British Columbia",112,"BCP",13,"Pacific Maritime",10,"10_Kalum","10_Kalum",41,3,"Managed Forest",2169271.04243,22421531340.4
585,585,110023,11,"British Columbia",112,"BCP",13,"Pacific Maritime",20,"20_Morice","20_Morice",41,8,"Managed Forest",461480.937368,2282178744.93
586,586,110024,11,"British Columbia",112,"BCP",13,"Pacific Maritime",3,"03_Bulkley","03_Bulkley",41,1,"Managed Forest",346566.931331,1106103746.03
587,587,110025,11,"British Columbia",112,"BCP",13,"Pacific Maritime",12,"12_Kispiox","12_Kispiox",41,4,"Managed Forest",595720.489558,5298527028.53
588,588,110026,11,"British Columbia",112,"BCP",13,"Pacific Maritime",25,"25_Queen Charlotte","25_Queen Charlotte",41,10,"Managed Forest",2728200.91083,10048994610.7
589,589,110027,11,"British Columbia",112,"BCP",13,"Pacific Maritime",42,"42_Cranberry","42_Cranberry",41,18,"Managed Forest",171931.256023,761597112.093
590,590,110028,11,"British Columbia",112,"BCP",13,"Pacific Maritime",43,"43_Nass","43_Nass",41,19,"Managed Forest",777809.512126,7984881688.37
591,591,110029,11,"British Columbia",112,"BCP",13,"Pacific Maritime",4,"04_Cassiar","04_Cassiar",41,2,"Managed Forest",1777126.83652,19021309410.1
592,592,110030,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",30,"30_Fraser","30_Fraser",42,20,"Managed Forest",624452.406273,2562363710.75
593,593,110031,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",18,"18_Merritt","18_Merritt",42,11,"Managed Forest",906932.903129,11310967575.2
594,594,110032,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",222,"22_PentictonOffice","22_PentictonOffice",42,13,"Managed Forest",778877.382763,9302782118.11
595,595,110033,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",2,"02_Boundary","02_Boundary",42,2,"Managed Forest",459805.411572,6589963371.66
596,596,110034,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",1,"01_Arrow","01_Arrow",42,1,"Managed Forest",1003109.61662,13890729491.8
597,597,110035,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",13,"13_Kootenay Lake","13_Kootenay Lake",42,8,"Managed Forest",1063847.0372,12408365662.1
598,598,110036,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",5,"05_Cranbrook","05_Cranbrook",42,3,"Managed Forest",942066.59091,14846907212.7
599,599,110037,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",33,"33_Kingcome","33_Kingcome",42,21,"Managed Forest",158103.144625,326907752.733
600,600,110038,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",15,"15_Lillooet","15_Lillooet",42,9,"Managed Forest",850060.007679,11148826744.1
601,601,110039,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",223,"22_VernonDistrict","22_VernonDistrict",42,14,"Managed Forest",699924.727753,8108984246.28
602,602,110040,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",9,"09_Invermere","09_Invermere",42,5,"Managed Forest",862306.230781,13154423591.5
603,603,110041,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",112,"11_KamloopsDistrict","11_KamloopsDistrict",42,7,"Managed Forest",927959.153768,13136485990.2
604,604,110042,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",221,"22_SalmonArmOffice","22_SalmonArmOffice",42,12,"Managed Forest",576688.139444,7079711122.87
605,605,110043,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",27,"27_Revelstoke","27_Revelstoke",42,16,"Managed Forest",727144.865748,8334438719.1
606,606,110044,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",293,"29_Chilcotin","29_Chilcotin",42,19,"Managed Forest",1092282.02016,27208588682.1
607,607,110045,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",23,"23_100 Mile House","23_100 Mile House",42,15,"Managed Forest",745760.658323,12360137174.6
608,608,110046,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",292,"29_WilliamsLake","29_WilliamsLake",42,18,"Managed Forest",924987.466725,12503909332.7
609,609,110047,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",7,"07_Golden","07_Golden",42,4,"Managed Forest",977976.1036,13105063952.8
610,610,110048,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",111,"11_ClearwaterDistrict","11_ClearwaterDistrict",42,6,"Managed Forest",888809.029994,14558152260.1
611,611,110049,11,"British Columbia",113,"BCMN",14,"Montane Cordillera",19,"19_Mid Coast","19_Mid Coast",42,7,"Managed Forest",647456.86914,4717303667.15
612,612,110050,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",291,"29_Horsefly","29_Horsefly",42,17,"Managed Forest",635252.864969,8130211685.92
613,613,110051,11,"British Columbia",115,"BCMS",14,"Montane Cordillera",17,"17_Robson Valley","17_Robson Valley",42,10,"Managed Forest",959480.454153,14585976654.6
614,614,110052,11,"British Columbia",113,"BCMN",14,"Montane Cordillera",26,"26_Quesnel","26_Quesnel",42,12,"Managed Forest",1337028.06364,20772329485.4
615,615,110053,11,"British Columbia",113,"BCMN",14,"Montane Cordillera",14,"14_Lakes","14_Lakes",42,5,"Managed Forest",1252544.08828,15773632997.2
616,616,110054,11,"British Columbia",113,"BCMN",14,"Montane Cordillera",241,"24dva_Vanderhoof","24dva_Vanderhoof",42,9,"Managed Forest",981823.856875,13879732261.3
617,617,110055,11,"British Columbia",113,"BCMN",14,"Montane Cordillera",10,"10_Kalum","10_Kalum",42,3,"Managed Forest",60796.0744543,34789542.7076
618,618,110056,11,"British Columbia",113,"BCMN",14,"Montane Cordillera",242,"24dpg_Prince George","24dpg_Prince George",42,10,"Managed Forest",1712952.6877,33967070698.3
619,619,110057,11,"British Columbia",113,"BCMN",14,"Montane Cordillera",20,"20_Morice","20_Morice",42,8,"Managed Forest",1107442.64085,12734920870.2
620,620,110058,11,"British Columbia",113,"BCMN",14,"Montane Cordillera",243,"24dja_Fort St. James","24dja_Fort St. James",42,11,"Managed Forest",1972029.89113,30477575111.4
621,621,110059,11,"British Columbia",113,"BCMN",14,"Montane Cordillera",41,"41_Dawson Creek","41_Dawson Creek",42,14,"Managed Forest",1314867.57032,16232786768.7
622,622,110060,11,"British Columbia",113,"BCMN",14,"Montane Cordillera",3,"03_Bulkley","03_Bulkley",42,1,"Managed Forest",778790.393666,6521235858.58
623,623,110061,11,"British Columbia",113,"BCMN",14,"Montane Cordillera",12,"12_Kispiox","12_Kispiox",42,4,"Managed Forest",569901.841407,6949769972.48
624,624,110062,11,"British Columbia",113,"BCMN",14,"Montane Cordillera",16,"16_Mackenzie","16_Mackenzie",42,6,"Managed Forest",1471196.31074,28489272475.4
625,625,110063,11,"British Columbia",113,"BCMN",14,"Montane Cordillera",43,"43_Nass","43_Nass",42,15,"Managed Forest",772646.668517,9127726978.63
626,626,110064,11,"British Columbia",113,"BCMN",14,"Montane Cordillera",4,"04_Cassiar","04_Cassiar",42,2,"Managed Forest",682583.368198,5812076939.41
627,627,110065,11,"British Columbia",113,"BCMN",14,"Montane Cordillera",40,"40_Fort St. John","40_Fort St. John",42,13,"Managed Forest",449791.895058,3430810941.93
628,628,120001,12,"Yukon",12,"YT",12,"Boreal Cordillera",1,"CA Plan area","CA Plan area",46,45,"Managed Forest",677794.326321,10519028071.2
629,629,120002,12,"Yukon",12,"YT",12,"Boreal Cordillera",2,"Fire Zone 2","Fire Zone 2",46,46,"Managed Forest",2730433.55205,13870963247.9
630,630,120003,12,"Yukon",12,"YT",12,"Boreal Cordillera",3,"Fire Zone 4","Fire Zone 4",46,47,"Managed Forest",6050610.08792,39966359217.7
631,631,120004,12,"Yukon",12,"YT",12,"Boreal Cordillera",4,"Game Sanctuary North","Game Sanctuary North",46,48,"Managed Forest",116641.44311,580970127.478
632,632,120005,12,"Yukon",12,"YT",12,"Boreal Cordillera",5,"Game Sanctuary South","Game Sanctuary South",46,49,"Managed Forest",107026.668846,561285850.756
633,633,120006,12,"Yukon",12,"YT",12,"Boreal Cordillera",6,"Kaska Plan Area","Kaska Plan Area",46,50,"Managed Forest",2660453.25445,81346950103.8
634,634,120007,12,"Yukon",12,"YT",12,"Boreal Cordillera",7,"Kluane National Park","Kluane National Park",46,51,"Managed Forest",666767.759852,18013520611.2
635,635,120009,12,"Yukon",12,"YT",12,"Boreal Cordillera",8,"Teslin Plan Area","Teslin Plan Area",46,53,"Managed Forest",660661.624555,19898263119.5
636,636,120010,12,"Yukon",12,"YT",13,"Pacific Maritime",7,"Kluane National Park","Kluane National Park",47,54,"Managed Forest",278277.531098,4187314737.88
637,637,120013,12,"Yukon",12,"YT",11,"Taiga Cordillera",2,"Fire Zone 2","Fire Zone 2",45,57,"Managed Forest",39069.3676928,100411457.078
638,638,120014,12,"Yukon",12,"YT",11,"Taiga Cordillera",3,"Fire Zone 4","Fire Zone 4",45,58,"Managed Forest",492400.061304,934526595.015
639,639,120016,12,"Yukon",12,"YT",11,"Taiga Cordillera",6,"Kaska Plan Area","Kaska Plan Area",45,60,"Managed Forest",1853228.4924,29100092015.6
640,640,120019,12,"Yukon",12,"YT",4,"Taiga Plains",6,"Kaska Plan Area","Kaska Plan Area",44,63,"Managed Forest",140914.560704,713643832.528
641,641,130002,13,"Northwest Territories",13,"NWT",12,"Boreal Cordillera",16,"LIARD","LIARD70",54,120,"Managed Forest",595399.791311,1185810533.84
642,642,130003,13,"Northwest Territories",13,"NWT",12,"Boreal Cordillera",19,"Nahanni National Park Reserve of Canada","Nahanni National Park",54,121,"Managed Forest",20472.9211642,16867950.6395
643,643,130004,13,"Northwest Territories",13,"NWT",9,"Boreal Plains",4,"BUFFALO RIVER","BUFFALO RIVER",52,122,"Managed Forest",214836.318166,2262369003.52
644,644,130006,13,"Northwest Territories",13,"NWT",9,"Boreal Plains",6,"BufferCommunity50km","50km Community Buffer",52,124,"Managed Forest",448542.567725,1367964497.05
645,645,130008,13,"Northwest Territories",13,"NWT",9,"Boreal Plains",18,"NORTH SLAVE","NORTH SLAVE",52,126,"Managed Forest",323880.087969,4618568300.43
646,646,130010,13,"Northwest Territories",13,"NWT",9,"Boreal Plains",22,"SOUTH SLAVE","SOUTH SLAVE",52,128,"Managed Forest",342245.040029,3764158612.2
647,647,130011,13,"Northwest Territories",13,"NWT",9,"Boreal Plains",26,"Wood Buffalo National Park of Canada","Wood Buffalo",52,129,"Managed Forest",321563.98129,3623940047.81
648,648,130019,13,"Northwest Territories",13,"NWT",11,"Taiga Cordillera",19,"Nahanni National Park Reserve of Canada","Nahanni National Park",53,137,"Managed Forest",155168.560141,725913994.35
649,649,130021,13,"Northwest Territories",13,"NWT",11,"Taiga Cordillera",21,"SAHTU","SAHTU",53,139,"Managed Forest",941878.571843,1679845760.76
650,650,130022,13,"Northwest Territories",13,"NWT",4,"Taiga Plains",1,"ANDERSON LANDING","dont know",50,140,"Managed Forest",192065.89426,698242570.616
651,651,130023,13,"Northwest Territories",13,"NWT",4,"Taiga Plains",2,"ARCTIC RED","Arctic Red River",50,141,"Managed Forest",151647.729738,706939781.334
652,652,130024,13,"Northwest Territories",13,"NWT",4,"Taiga Plains",4,"BUFFALO RIVER","BUFFALO RIVER",50,142,"Managed Forest",750780.074161,6246261202.44
653,653,130026,13,"Northwest Territories",13,"NWT",4,"Taiga Plains",6,"BufferCommunity50km","50km Community Buffer",50,144,"Managed Forest",13248260.2059,120410418321
654,654,130028,13,"Northwest Territories",13,"NWT",4,"Taiga Plains",8,"CAMERON HILLS","CAMERON HILLS",50,146,"Managed Forest",197983.651496,773874270.396
655,655,130030,13,"Northwest Territories",13,"NWT",4,"Taiga Plains",10,"FORT PROVIDENCE","Ft Providence",50,148,"Managed Forest",278827.64259,4086618951.63
656,656,130032,13,"Northwest Territories",13,"NWT",4,"Taiga Plains",12,"GWICHIN","GWICHIN",50,150,"Managed Forest",3028649.74849,18998121437.7
657,657,130034,13,"Northwest Territories",13,"NWT",4,"Taiga Plains",14,"IFA","IFA",50,152,"Managed Forest",714294.1273,3240343697.97
658,658,130035,13,"Northwest Territories",13,"NWT",4,"Taiga Plains",15,"JMR","JMR",50,153,"Managed Forest",330025.203437,4025031785.69
659,659,130036,13,"Northwest Territories",13,"NWT",4,"Taiga Plains",16,"LIARD","LIARD70",50,154,"Managed Forest",477420.522679,11821646214.2
660,660,130037,13,"Northwest Territories",13,"NWT",4,"Taiga Plains",17,"MCPHERSON","Ft McPherson",50,155,"Managed Forest",395823.354671,3099030258.73
661,661,130038,13,"Northwest Territories",13,"NWT",4,"Taiga Plains",18,"NORTH SLAVE","NORTH SLAVE",50,156,"Managed Forest",90173.1506399,53172416.3865
662,662,130039,13,"Northwest Territories",13,"NWT",4,"Taiga Plains",19,"Nahanni National Park Reserve of Canada","Nahanni National Park",50,157,"Managed Forest",568459.263229,3957188865.92
663,663,130041,13,"Northwest Territories",13,"NWT",4,"Taiga Plains",21,"SAHTU","SAHTU",50,159,"Managed Forest",10454724.7123,35103610532.8
664,664,130042,13,"Northwest Territories",13,"NWT",4,"Taiga Plains",23,"TLICHO","TLICHO",50,160,"Managed Forest",1188031.57187,10496295294.2
665,665,130043,13,"Northwest Territories",13,"NWT",4,"Taiga Plains",25,"WRIGLEY","dont know",50,161,"Managed Forest",735282.325169,11282843514.1
666,666,130044,13,"Northwest Territories",13,"NWT",4,"Taiga Plains",26,"Wood Buffalo National Park of Canada","Wood Buffalo",50,162,"Managed Forest",361336.444107,5728004029.29
667,667,130046,13,"Northwest Territories",13,"NWT",5,"Taiga Shield West",6,"BufferCommunity50km","50km Community Buffer",51,164,"Managed Forest",3160632.79739,29981681731.6
668,668,130049,13,"Northwest Territories",13,"NWT",5,"Taiga Shield West",21,"SAHTU","SAHTU",51,167,"Managed Forest",689149.516811,1918193685.53
669,669,130050,13,"Northwest Territories",13,"NWT",5,"Taiga Shield West",22,"SOUTH SLAVE","SOUTH SLAVE",51,168,"Managed Forest",116043.5472,165648145.14
670,670,130051,13,"Northwest Territories",13,"NWT",5,"Taiga Shield West",23,"TLICHO","TLICHO",51,169,"Managed Forest",3199872.21092,29076544703.1
